num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
955,855,1707,武汉城市职业学院,4142011796,湖北省,武汉市,专科,,武汉城市职业学院(南校区),114.320914,30.445304,32e733522d974ad5250bd06c,洪山区,1
956,862,1714,武汉工程职业技术学院,4142012738,湖北省,武汉市,专科,,武汉工程职业技术学院(校本部),114.553483,30.718569,341c35defd9381bde6073824,新洲区,1
957,862,1714,武汉工程职业技术学院,4142012738,湖北省,武汉市,专科,,武汉工程职业技术学院(凤凰山校区),114.428302,30.655896,ee7986a1e0ff3b11e6073892,青山区,1
959,869,1721,武汉软件工程职业学院,4142012978,湖北省,武汉市,专科,,武汉软件工程职业学院,114.433626,30.450796,d52831f99a3b91a62ffaa780,江夏区,1
960,869,1721,武汉软件工程职业学院,4142012978,湖北省,武汉市,专科,,武汉软件工程职业学院(武昌校区),114.359666,30.608892,1393a52212dca57e96ca07f8,武昌区,1
962,874,1726,湖北城市建设职业技术学院,4142012983,湖北省,武汉市,专科,,湖北城市建设职业技术学院,114.443373,30.407743,ac8555710625c676a10464df,江夏区,1
963,882,1734,武汉商贸职业学院,4142012991,湖北省教育厅,武汉市,专科,民办,武汉商贸职业学院,114.467834,30.442733,550fd5f999cb4579931fc9df,江夏区,1
964,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,,湖北艺术职业学院,114.378261,30.516706,beabdbf47cec64987169d3e2,洪山区,1
965,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,,湖北艺术职业学院(石牌岭路校区),114.349857,30.531756,7e685ff42ee50f1b465726ee,武昌区,1
966,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,,湖北艺术职业学院(武珞路),114.353553,30.533978,15e1e85e023018a359109389,洪山区,1
967,885,1737,咸宁职业技术学院,4142013265,湖北省,咸宁市,专科,,咸宁职业技术学院,114.321259,29.832714,7ae24097afc4fc2230169b2b,咸安区,1
968,887,1739,江汉艺术职业学院,4142013793,湖北省,潜江市,专科,,江汉艺术职业学院,112.91504,30.428779,435d7aea5f1708355abbbc01,,1
970,895,1747,湖北科技职业学院,4142014119,湖北省,武汉市,专科,,湖北科技职业学院(关山校区),114.410792,30.477711,d146b388bdfc83de750269e3,洪山区,1
971,897,1749,湖北工程职业学院,4142014197,湖北省,黄石市,专科,,湖北工程职业学院(广州路校区),115.030907,30.191113,41572e0017ae44c9b45f1e68,下陆区,1
972,897,1749,湖北工程职业学院,4142014197,湖北省,黄石市,专科,,湖北工程职业学院(新校区),115.125244,30.149288,0e11dfe13730b95a43afe694,大冶市,1
974,900,1752,湖北体育职业学院,4142014356,湖北省,武汉市,专科,,湖北体育职业学院,114.457058,30.495571,11f6c0a9ecd9d74cb64f54ab,江夏区,1
976,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,,襄阳汽车职业技术学院,112.096686,31.958622,784931bc8066f4c6fca778f7,襄城区,1
981,935,1839,湖南邮电职业技术学院,4143012845,湖南省,长沙市,专科,,湖南邮电职业技术学院,112.982471,28.16644,9ee392b83ea53a41bbbd6369,天心区,1
982,941,1845,湖南艺术职业学院,4143013032,湖南省,长沙市,专科,,湖南艺术职业学院(新校区),113.133669,28.262241,261308196d2ade9d5c17c306,长沙县,1
983,941,1845,湖南艺术职业学院,4143013032,湖南省,长沙市,专科,,湖南艺术职业学院(北院),112.92754,28.217667,a5ef680f53790cd7b9df8f6a,岳麓区,1
985,957,1861,湖南工艺美术职业学院,4143013921,湖南省,益阳市,专科,,湖南工艺美术职业学院,112.341059,28.580762,8ce08904cc2a6c8b725e809b,赫山区,1
