,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
653,1310,赣州师范高等专科学校,4136014465,江西省,赣州市,专科,,6
654,1311,江西水利职业学院,4136014476,江西省,南昌市,专科,,27
655,1312,宜春幼儿师范高等专科学校,4136014494,江西省,宜春市,专科,,4
656,1313,吉安职业技术学院,4136014504,江西省,吉安市,专科,,1
657,1314,江西洪州职业学院,4136014505,江西省教育厅,宜春市,专科,民办,4
658,1315,江西师范高等专科学校,4136014537,江西省       ,鹰潭市,专科,,2
659,1316,南昌影视传播职业学院,4136014544,江西省教育厅,南昌市,专科,民办,27
660,1317,赣南卫生健康职业学院,4136014569,江西省,赣州市,专科,,6
661,1318,萍乡卫生职业学院,4136014656,江西省,萍乡市,专科,,3
662,1319,江西婺源茶业职业学院,4136014657,江西省,上饶市,专科,,4
663,1320,赣州职业技术学院,4136014665,江西省,赣州市,专科,,6
664,1321,南昌健康职业技术学院,4136014705,江西省,南昌市,专科,,27
665,1322,九江理工职业学院,4136014706,江西省教育厅,九江市,专科,民办,6
666,1323,和君职业学院,4136014748,江西省教育厅,赣州市,专科,民办,6
667,1394,山东医学高等专科学校,4137010442,山东省,临沂市,专科,,3
668,1395,菏泽医学专科学校,4137010444,山东省,菏泽市,专科,,3
669,1396,山东商业职业技术学院,4137010832,山东省,济南市,专科,,17
670,1397,山东电力高等专科学校,4137011827,山东省,济南市,专科,,17
671,1398,日照职业技术学院,4137012062,山东省,日照市,专科,,3
672,1399,曲阜远东职业技术学院,4137012070,山东省教育厅,济宁市,专科,民办,3
673,1400,青岛职业技术学院,4137012324,山东省,青岛市,专科,,11
674,1401,威海职业学院,4137012326,山东省,威海市,专科,,3
675,1402,山东职业学院,4137012328,山东省,济南市,专科,,17
676,1403,山东劳动职业技术学院,4137012329,山东省,济南市,专科,,17
677,1404,莱芜职业技术学院,4137012330,山东省,莱芜市,专科,,1
678,1405,济宁职业技术学院,4137012335,山东省,济宁市,专科,,3
679,1406,潍坊职业学院,4137012391,山东省,潍坊市,专科,,11
680,1407,烟台职业学院,4137012396,山东省,烟台市,专科,,8
681,1408,东营职业学院,4137012440,山东省,东营市,专科,,3
682,1409,聊城职业技术学院,4137012441,山东省,聊城市,专科,,1
683,1410,滨州职业学院,4137012818,山东省,滨州市,专科,,2
684,1411,山东科技职业学院,4137012819,山东省,潍坊市,专科,,11
685,1412,山东服装职业学院,4137012841,山东省,泰安市,专科,,4
686,1413,德州科技职业学院,4137012842,山东省教育厅,德州市,专科,民办,2
687,1414,山东力明科技职业学院,4137012844,山东省教育厅,泰安市,专科,民办,4
688,1415,山东圣翰财贸职业学院,4137012945,山东省教育厅,济南市,专科,民办,17
689,1416,山东水利职业学院,4137012946,山东省,日照市,专科,,3
690,1417,山东畜牧兽医职业学院,4137012947,山东省,潍坊市,专科,,11
691,1418,青岛飞洋职业技术学院,4137013005,山东省教育厅,青岛市,专科,民办,11
692,1419,东营科技职业学院,4137013007,山东省教育厅,东营市,专科,民办,3
693,1420,山东交通职业学院,4137013008,山东省,潍坊市,专科,,11
694,1421,淄博职业学院,4137013009,山东省,淄博市,专科,,6
695,1422,山东外贸职业学院,4137013010,山东省,青岛市,专科,,11
696,1423,青岛酒店管理职业技术学院,4137013011,山东省,青岛市,专科,,11
