FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
19,785,561,1173,福州职业技术学院,4135011502.000000000000000,福建省,福州市,专科, ,福州职业技术学院,4a6525bb9ed0f29eafee7ac6,闽侯县,119.152830582000007,26.077071814100002,37.1980019
20,854,633,1290,抚州职业技术学院,4136013428.000000000000000,江西省,抚州市,专科, ,抚州职业技术学院,bbeac9361128d6ab33169b49,临川区,116.389772886000003,27.957993353599999,52.1991005
21,841,618,1275,鹰潭职业技术学院,4136012937.000000000000000,江西省,鹰潭市,专科, ,鹰潭职业技术学院,558eb93b68f29d6081288a66,贵溪市,117.051683807000003,28.298654460900000,33.5521011
22,827,606,1263,上饶幼儿师范高等专科学校,3636000312.000000000000000,江西省,上饶市,专科, ,上饶幼儿师范高等专科学校,7e363692b8b0f6598733046b,信州区,117.976873995999995,28.421190815700001,30.1868992
23,859,635,1292,江西经济管理职业学院,4136013866.000000000000000,江西省,南昌市,专科, ,江西经济管理职业学院,60d7bcfc13d3603e43e192f9,红谷滩区,115.796097691000000,28.642534940899999,37.8120003
24,677,440,967,台州职业技术学院,4133012790.000000000000000,浙江省,台州市,专科, ,台州职业技术学院,d219bb1d2054998af50e7730,椒江区,121.394801306999994,28.656499530100000,36.8446999
25,850,628,1285,江西工业贸易职业技术学院,4136013423.000000000000000,江西省,南昌市,专科, ,江西工业贸易职业技术学院,844a750ea8dd9bc462685827,红谷滩区,115.782501311000004,28.656950866399999,31.2362995
26,837,615,1272,江西电力职业技术学院,4136012933.000000000000000,江西省,南昌市,专科, ,江西电力职业技术学院,bd5046e8c54a2341d72ce209,新建区,115.803997597000006,28.720893524600001,31.2703991
27,669,435,962,金华职业技术学院,4133012061.000000000000000,浙江省,金华市,专科, ,金华职业技术学院,1a34f4df1b3d5a9b95ca07ff,婺城区,119.631437016000007,29.064585199800000,84.5887985
28,1014,1157,2200,重庆医药高等专科学校,4150014009.000000000000000,重庆市,重庆市,专科, ,重庆医药高等专科学校,cde9e2c79ea5a2cae81e975e,沙坪坝区,106.309257708999993,29.629324021500000,29.9465008
29,847,621,1278,江西财经职业学院,4136012941.000000000000000,江西省,九江市,专科, ,江西财经职业学院(八里湖校区),ea5fcd0c67c8781a636858b8,柴桑区,115.909937271000004,29.637770119100001,53.5209999
30,831,610,1267,九江职业大学,4136011505.000000000000000,江西省,九江市,专科, ,九江职业大学(濂溪校区),588f6e173fac38641e580038,濂溪区,115.997280688000004,29.655153168100000,60.2463989
31,836,611,1268,九江职业技术学院,4136011785.000000000000000,江西省,九江市,专科, ,九江职业技术学院(濂溪校区),fc4a3a3eea951249bb17e7d5,濂溪区,116.009698804999999,29.672903826999999,42.0349998
32,667,432,959,宁波职业技术学院,4133010863.000000000000000,浙江省,宁波市,专科, ,宁波职业技术学院东区,2f51267b1cf1ff8e40ab9a4c,北仑区,121.816961512000006,29.895205435099999,37.6799011
33,694,456,983,绍兴职业技术学院,4133012876.000000000000000,浙江省教育厅,绍兴市,专科,民办,绍兴职业技术学院,915331ec6e643a4d364aae94,越城区,120.556926376999996,29.983435118199999,31.9857998
34,972,897,1749,湖北工程职业学院,4142014197.000000000000000,湖北省,黄石市,专科, ,湖北工程职业学院(新校区),0e11dfe13730b95a43afe694,大冶市,115.113206228999999,30.145787551800002,62.4538994
35,1019,1247,2343,天府新区通用航空职业学院,4151014646.000000000000000,四川省教育厅,眉山市,专科,民办,天府新区通用航空职业学院,5bbb75fa01f1c4a714b54b63,仁寿县,104.077209236000002,30.200258743599999,32.3792992
36,680,443,970,浙江建设职业技术学院,4133012862.000000000000000,浙江省,杭州市,专科, ,浙江建设职业技术学院,cc0849a06b6e33519503198c,萧山区,120.294079135999993,30.249027411400000,33.2256012
37,692,453,980,杭州职业技术学院,4133012872.000000000000000,浙江省,杭州市,专科, ,杭州职业技术学院,38e480371255e448373a713c,钱塘区,120.348682315999994,30.323028063900001,42.0295982
38,668,434,961,浙江交通职业技术学院,4133012036.000000000000000,浙江省,杭州市,专科, ,浙江交通职业技术学院,69fcd6dfac80292ecb2915a3,余杭区,120.084255833000000,30.346045577200002,33.5238991
39,962,874,1726,湖北城市建设职业技术学院,4142012983.000000000000000,湖北省,武汉市,专科, ,湖北城市建设职业技术学院,ac8555710625c676a10464df,江夏区,114.431303798000002,30.404306462600001,41.0041008
40,955,855,1707,武汉城市职业学院,4142011796.000000000000000,湖北省,武汉市,专科, ,武汉城市职业学院(南校区),32e733522d974ad5250bd06c,洪山区,114.308927115000003,30.442008787599999,46.5777016
41,959,869,1721,武汉软件工程职业学院,4142012978.000000000000000,湖北省,武汉市,专科, ,武汉软件工程职业学院,d52831f99a3b91a62ffaa780,江夏区,114.421543804999999,30.447450347800000,63.1265984
42,948,849,1701,武汉职业技术学院,4142010834.000000000000000,湖北省,武汉市,专科, ,武汉职业技术学院,696ec5b04dc2a578100daa43,洪山区,114.410729997000004,30.486977537000001,60.1944008
43,731,518,1091,安庆职业技术学院,4134013345.000000000000000,安徽省,安庆市,专科, ,安庆职业技术学院,68ed0e79763ff62b213bf293,迎江区,117.124104525999996,30.541192802800001,43.0056992
44,956,862,1714,武汉工程职业技术学院,4142012738.000000000000000,湖北省,武汉市,专科, ,武汉工程职业技术学院(校本部),341c35defd9381bde6073824,新洲区,114.541746411999995,30.715412947600001,57.4555016
45,693,455,982,湖州职业技术学院,4133012875.000000000000000,浙江省,湖州市,专科, ,湖州职业技术学院,66831210d78eaa9c725e80e7,吴兴区,120.126310363000002,30.878575247899999,31.9941998
46,489,327,716,上海电子信息职业技术学院,4131012499.000000000000000,上海市,上海市,专科, ,上海电子信息职业技术学院(奉贤校区),5c2dc21df8f7fb7a6ec02c89,奉贤区,121.692066308999998,30.927231283200001,32.0694008
47,497,331,720,上海思博职业技术学院,4131012586.000000000000000,上海市教委,上海市,专科,民办,上海思博职业技术学院,b292b3aabe7e7b57bf4842bc,浦东新区,121.776337682000005,31.039701226100000,33.0386009
48,644,418,885,苏州信息职业技术学院,4132014256.000000000000000,江苏省,苏州市,专科, ,苏州信息职业技术学院,34f68ab06109780a8f55ecd7,吴江区,120.629006257000000,31.137211936100002,37.9154015
49,572,370,837,苏州工业职业技术学院,4132012686.000000000000000,江苏省,苏州市,专科, ,苏州工业职业技术学院,04e8faa419d54cebab175afc,吴中区,120.586228019000004,31.221565930499999,32.9463005
50,534,349,816,苏州工艺美术职业技术学院,4132010960.000000000000000,江苏省,苏州市,专科, ,苏州工艺美术职业技术学院,f4a33da9fcad26093010af46,吴中区,120.581685956000001,31.232812186299999,37.8283997
51,570,369,836,苏州经贸职业技术学院,4132012685.000000000000000,江苏省,苏州市,专科, ,苏州经贸职业技术学院,8e2f746c655b7b62dbeceda0,虎丘区,120.562556416999996,31.254770661599999,54.0017014
52,729,512,1085,安徽机电职业技术学院,4134013339.000000000000000,安徽省,芜湖市,专科, ,安徽机电职业技术学院,24907e07f3fb285c58f6bea2,弋江区,118.356398796999997,31.285123519700001,32.2360992
53,548,359,826,硅湖职业技术学院,4132012078.000000000000000,江苏省教育厅,苏州市,专科,民办,硅湖职业技术学院,72986da367b867a71ce999e3,昆山市,121.135284784000007,31.287190433199999,35.0270004
